Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134251-138998,TE,Michael,Michael Mayer,Mayer,6.199999809265137,1,5300,LV@LAC,LV,LAC,,,,,,TE/FLEX
134251-70422,WR,Kalif,Kalif Raymond,Raymond,12.399999618530273,1,5300,MIN@CHI,CHI,MIN,,,,,,WR/FLEX
134251-56265,TE,Mike,Mike Gesicki,Gesicki,16.299999237060547,1,5300,CIN@HOU,CIN,HOU,,,,,,TE/FLEX
134251-167881,RB,Kaelon,Kaelon Black,Black,7.5,1,5300,MIA@SF,SF,MIA,,,,,,RB/FLEX
134251-64555,WR,Calvin,Calvin Ridley,Ridley,5.971428462437221,7,5200,PHI@TEN,TEN,PHI,,,,,,WR/FLEX
134251-86080,TE,Kyle,Kyle Pitts Sr.,Pitts Sr.,0,1,5200,CAR@ATL,ATL,CAR,,,,,,TE/FLEX
134251-52436,TE,Mark,Mark Andrews,Andrews,6.900000095367432,1,5200,NO@BAL,BAL,NO,,,,,,TE/FLEX
134251-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,3.0999999046325684,1,5200,CAR@ATL,ATL,CAR,,,,,,RB/FLEX
134251-152007,WR,Jaylin,Jaylin Noel,Noel,6.300000190734863,1,5200,CIN@HOU,HOU,CIN,,,,,,WR/FLEX
134251-201233,WR,Ryan,Ryan Flournoy,Flournoy,3.200000047683716,1,5200,WAS@DAL,DAL,WAS,,,,,,WR/FLEX
134251-158412,RB,Braelon,Braelon Allen,Allen,4,1,5200,GB@NYJ,NYJ,GB,,,,,,RB/FLEX
134251-55042,TE,Dalton,Dalton Schultz,Schultz,5.5,1,5200,CIN@HOU,HOU,CIN,,,,,,TE/FLEX
134251-90912,RB,Kenny,Kenny Gainwell,Gainwell,2.299999952316284,1,5200,CLE@TB,TB,CLE,,,,,,RB/FLEX
134251-120657,RB,Kendre,Kendre Miller,Miller,9,1,5200,NO@BAL,NO,BAL,,,,,,RB/FLEX
134251-119653,WR,Kayshon,Kayshon Boutte,Boutte,2.5999999046325684,1,5200,CIN@HOU,HOU,CIN,,,,,,WR/FLEX
134251-71706,TE,T.J.,T.J. Hockenson,Hockenson,11.600000381469727,1,5100,MIN@CHI,MIN,CHI,,,,,,TE/FLEX
